Растение;Условия;Проблема;Вариантов всего;Производителей всего;Вариантов Лемана;Производителей Лемана;Производители Лемана
Земляника;Открытый грунт;Корневая гниль / увядание;0;0;0;0;
Земляника;Открытый грунт;Тля;1;1;0;0;
Земляника;Открытый грунт;Паутинный клещ;1;1;0;0;
Земляника;Открытый грунт;Трипсы;1;1;0;0;
Земляника;Открытый грунт;Пятнистости листьев;1;1;0;0;
Земляника;Открытый грунт;Долгоносик;2;2;2;2;Green Belt, Ваше хозяйство
Голубика;Открытый грунт;Настоящая мучнистая роса;2;1;0;0;
Голубика;Открытый грунт;Серая гниль;1;1;0;0;
Голубика;Открытый грунт;Корневая гниль / увядание;0;0;0;0;
Голубика;Открытый грунт;Тля;1;1;0;0;
Голубика;Открытый грунт;Паутинный клещ;1;1;0;0;
Голубика;Открытый грунт;Трипсы;1;1;0;0;
Голубика;Открытый грунт;Пятнистости листьев;1;1;0;0;
Яблоня;Открытый грунт;Настоящая мучнистая роса;4;3;2;2;Syngenta, Август
Яблоня;Открытый грунт;Корневая гниль / увядание;0;0;0;0;
Яблоня;Открытый грунт;Тля;4;3;3;2;Green Belt, Август
Яблоня;Открытый грунт;Паутинный клещ;2;2;1;1;Август
Яблоня;Открытый грунт;Трипсы;1;1;0;0;
Яблоня;Открытый грунт;Парша;3;3;2;2;Syngenta, Август
Яблоня;Открытый грунт;Долгоносик;3;2;3;2;Август, Ваше хозяйство
Яблоня;Открытый грунт;Плодожорка;3;3;3;3;Green Belt, Ваше хозяйство, Фармбиомед
Груша;Открытый грунт;Настоящая мучнистая роса;4;3;2;2;Syngenta, Август
Груша;Открытый грунт;Корневая гниль / увядание;0;0;0;0;
Груша;Открытый грунт;Тля;2;2;1;1;Green Belt
Груша;Открытый грунт;Паутинный клещ;1;1;0;0;
Груша;Открытый грунт;Трипсы;1;1;0;0;
Груша;Открытый грунт;Парша;3;3;2;2;Syngenta, Август
Груша;Открытый грунт;Ржавчина;0;0;0;0;
Груша;Открытый грунт;Плодожорка;1;1;1;1;Green Belt
Картофель;Открытый грунт;Фитофтороз;2;2;1;1;Август
Картофель;Открытый грунт;Альтернариоз;2;1;2;1;Август
Картофель;Открытый грунт;Корневая гниль / увядание;0;0;0;0;
Картофель;Открытый грунт;Тля;1;1;0;0;
Картофель;Открытый грунт;Паутинный клещ;1;1;0;0;
Картофель;Открытый грунт;Трипсы;1;1;0;0;
Картофель;Открытый грунт;Колорадский жук;5;5;5;5;Green Belt, Syngenta, Август, Ваше хозяйство, Фармбиомед
Газон;Открытый грунт;Настоящая мучнистая роса;0;0;0;0;
Газон;Открытый грунт;Корневая гниль / увядание;0;0;0;0;
Газон;Открытый грунт;Пятнистости листьев;1;1;0;0;
Газон;Открытый грунт;Ржавчина;0;0;0;0;
Газон;Открытый грунт;Снежная плесень;0;0;0;0;
