Растение;Условия;Проблема;Вариантов всего;Производителей всего;Вариантов Лемана;Производителей Лемана;Производители Лемана
Малина;Открытый грунт;Трипсы;1;1;0;0;
Малина;Открытый грунт;Пятнистости листьев;1;1;0;0;
Малина;Открытый грунт;Ржавчина;0;0;0;0;
Малина;Открытый грунт;Долгоносик;0;0;0;0;
Смородина;Открытый грунт;Настоящая мучнистая роса;3;2;1;1;Syngenta
Смородина;Открытый грунт;Ботритис (серая гниль);1;1;0;0;
Смородина;Открытый грунт;Корневая гниль / увядание;0;0;0;0;
Смородина;Открытый грунт;Тля;3;3;2;2;Август, Ваше хозяйство
Смородина;Открытый грунт;Паутинный клещ;3;3;2;2;Август, Фармбиомед
Смородина;Открытый грунт;Трипсы;1;1;0;0;
Смородина;Открытый грунт;Пятнистости листьев;1;1;0;0;
Смородина;Открытый грунт;Ржавчина;0;0;0;0;
Земляника;Открытый грунт;Настоящая мучнистая роса;2;1;0;0;
Земляника;Открытый грунт;Ботритис (серая гниль);1;1;0;0;
Земляника;Открытый грунт;Корневая гниль / увядание;0;0;0;0;
Земляника;Открытый грунт;Тля;1;1;0;0;
Земляника;Открытый грунт;Паутинный клещ;1;1;0;0;
Земляника;Открытый грунт;Трипсы;1;1;0;0;
Земляника;Открытый грунт;Пятнистости листьев;1;1;0;0;
Земляника;Открытый грунт;Долгоносик;2;2;2;2;Green Belt, Ваше хозяйство
Голубика;Открытый грунт;Настоящая мучнистая роса;2;1;0;0;
Голубика;Открытый грунт;Ботритис (серая гниль);1;1;0;0;
Голубика;Открытый грунт;Корневая гниль / увядание;0;0;0;0;
Голубика;Открытый грунт;Тля;1;1;0;0;
Голубика;Открытый грунт;Паутинный клещ;1;1;0;0;
Голубика;Открытый грунт;Трипсы;1;1;0;0;
Голубика;Открытый грунт;Пятнистости листьев;1;1;0;0;
Яблоня;Открытый грунт;Настоящая мучнистая роса;4;3;2;2;Syngenta, Август
Яблоня;Открытый грунт;Корневая гниль / увядание;0;0;0;0;
Яблоня;Открытый грунт;Тля;4;3;3;2;Green Belt, Август
Яблоня;Открытый грунт;Паутинный клещ;2;2;1;1;Август
Яблоня;Открытый грунт;Трипсы;1;1;0;0;
Яблоня;Открытый грунт;Парша;4;3;2;2;Syngenta, Август
Яблоня;Открытый грунт;Монилиоз (плодовая гниль);1;1;0;0;
Яблоня;Открытый грунт;Долгоносик;3;2;3;2;Август, Ваше хозяйство
Яблоня;Открытый грунт;Плодожорка;3;3;3;3;Green Belt, Ваше хозяйство, Фармбиомед
Груша;Открытый грунт;Настоящая мучнистая роса;4;3;2;2;Syngenta, Август
Груша;Открытый грунт;Корневая гниль / увядание;0;0;0;0;
Груша;Открытый грунт;Тля;2;2;1;1;Green Belt
Груша;Открытый грунт;Паутинный клещ;1;1;0;0;
Груша;Открытый грунт;Трипсы;1;1;0;0;
Груша;Открытый грунт;Парша;4;3;2;2;Syngenta, Август
Груша;Открытый грунт;Монилиоз (плодовая гниль);1;1;0;0;
Груша;Открытый грунт;Ржавчина;0;0;0;0;
Груша;Открытый грунт;Плодожорка;1;1;1;1;Green Belt
Картофель;Открытый грунт;Фитофтороз;2;2;1;1;Август
Картофель;Открытый грунт;Альтернариоз;2;1;2;1;Август
Картофель;Открытый грунт;Корневая гниль / увядание;0;0;0;0;
Картофель;Открытый грунт;Тля;1;1;0;0;
Картофель;Открытый грунт;Паутинный клещ;1;1;0;0;
Картофель;Открытый грунт;Трипсы;1;1;0;0;
Картофель;Открытый грунт;Колорадский жук;5;5;5;5;Green Belt, Syngenta, Август, Ваше хозяйство, Фармбиомед
Газон;Открытый грунт;Настоящая мучнистая роса;0;0;0;0;
Газон;Открытый грунт;Корневая гниль / увядание;0;0;0;0;
Газон;Открытый грунт;Пятнистости листьев;1;1;0;0;
Газон;Открытый грунт;Ржавчина;0;0;0;0;
Газон;Открытый грунт;Снежная плесень;0;0;0;0;
Гортензия;Открытый грунт;Настоящая мучнистая роса;4;3;1;1;Syngenta
Гортензия;Открытый грунт;Ботритис (серая гниль);1;1;0;0;
Гортензия;Открытый грунт;Корневая гниль / увядание;0;0;0;0;
Гортензия;Открытый грунт;Тля;4;4;3;3;BonaForte, Green Belt, Август
Гортензия;Открытый грунт;Паутинный клещ;2;2;1;1;BonaForte
Гортензия;Открытый грунт;Трипсы;4;4;3;3;BonaForte, Green Belt, Август
Гортензия;Открытый грунт;Пятнистости листьев;3;3;1;1;Syngenta
Гортензия метельчатая;Открытый грунт;Настоящая мучнистая роса;4;3;1;1;Syngenta
Гортензия метельчатая;Открытый грунт;Корневая гниль / увядание;0;0;0;0;
Гортензия метельчатая;Открытый грунт;Тля;4;4;3;3;BonaForte, Green Belt, Август
Гортензия метельчатая;Открытый грунт;Паутинный клещ;2;2;1;1;BonaForte
Гортензия метельчатая;Открытый грунт;Трипсы;4;4;3;3;BonaForte, Green Belt, Август
Гортензия крупнолистная;Открытый грунт;Настоящая мучнистая роса;4;3;1;1;Syngenta
Гортензия крупнолистная;Открытый грунт;Корневая гниль / увядание;0;0;0;0;
Гортензия крупнолистная;Открытый грунт;Тля;4;4;3;3;BonaForte, Green Belt, Август
Гортензия крупнолистная;Открытый грунт;Паутинный клещ;2;2;1;1;BonaForte
Гортензия крупнолистная;Открытый грунт;Трипсы;4;4;3;3;BonaForte, Green Belt, Август
Гортензия древовидная;Открытый грунт;Настоящая мучнистая роса;4;3;1;1;Syngenta
Гортензия древовидная;Открытый грунт;Корневая гниль / увядание;0;0;0;0;
Гортензия древовидная;Открытый грунт;Тля;4;4;3;3;BonaForte, Green Belt, Август
Гортензия древовидная;Открытый грунт;Паутинный клещ;2;2;1;1;BonaForte
Гортензия древовидная;Открытый грунт;Трипсы;4;4;3;3;BonaForte, Green Belt, Август
Туя;Открытый грунт;Настоящая мучнистая роса;0;0;0;0;
Туя;Открытый грунт;Корневая гниль / увядание;0;0;0;0;
Туя;Открытый грунт;Тля;0;0;0;0;
Туя;Открытый грунт;Паутинный клещ;0;0;0;0;
Туя;Открытый грунт;Трипсы;0;0;0;0;
Ель;Открытый грунт;Настоящая мучнистая роса;0;0;0;0;
Ель;Открытый грунт;Корневая гниль / увядание;0;0;0;0;
Ель;Открытый грунт;Тля;0;0;0;0;
Ель;Открытый грунт;Паутинный клещ;0;0;0;0;
Ель;Открытый грунт;Трипсы;0;0;0;0;
Сосна;Открытый грунт;Настоящая мучнистая роса;0;0;0;0;
Сосна;Открытый грунт;Корневая гниль / увядание;0;0;0;0;
Сосна;Открытый грунт;Тля;0;0;0;0;
Сосна;Открытый грунт;Паутинный клещ;0;0;0;0;
Сосна;Открытый грунт;Трипсы;0;0;0;0;
Можжевельник;Открытый грунт;Настоящая мучнистая роса;0;0;0;0;
Можжевельник;Открытый грунт;Корневая гниль / увядание;0;0;0;0;
Можжевельник;Открытый грунт;Тля;0;0;0;0;
Можжевельник;Открытый грунт;Паутинный клещ;0;0;0;0;
Можжевельник;Открытый грунт;Трипсы;0;0;0;0;
Лилия;Открытый грунт;Настоящая мучнистая роса;1;1;0;0;
Лилия;Открытый грунт;Ботритис (серая гниль);1;1;0;0;
Лилия;Открытый грунт;Корневая гниль / увядание;0;0;0;0;
Лилия;Открытый грунт;Тля;1;1;1;1;Фармбиомед
Лилия;Открытый грунт;Паутинный клещ;1;1;1;1;Фармбиомед
Лилия;Открытый грунт;Трипсы;1;1;1;1;Фармбиомед
Тюльпан;Открытый грунт;Настоящая мучнистая роса;1;1;0;0;
Тюльпан;Открытый грунт;Ботритис (серая гниль);1;1;0;0;
Тюльпан;Открытый грунт;Корневая гниль / увядание;0;0;0;0;
Тюльпан;Открытый грунт;Тля;1;1;1;1;Фармбиомед
Тюльпан;Открытый грунт;Паутинный клещ;1;1;1;1;Фармбиомед
Тюльпан;Открытый грунт;Трипсы;1;1;1;1;Фармбиомед
Гладиолус;Открытый грунт;Настоящая мучнистая роса;1;1;0;0;
Гладиолус;Открытый грунт;Корневая гниль / увядание;0;0;0;0;
Гладиолус;Открытый грунт;Тля;1;1;1;1;Фармбиомед
Гладиолус;Открытый грунт;Паутинный клещ;1;1;1;1;Фармбиомед
Гладиолус;Открытый грунт;Трипсы;1;1;1;1;Фармбиомед
Гладиолус;Открытый грунт;Фузариоз / фузариозное увядание;0;0;0;0;
Ирис;Открытый грунт;Настоящая мучнистая роса;1;1;0;0;
Ирис;Открытый грунт;Корневая гниль / увядание;0;0;0;0;
Ирис;Открытый грунт;Тля;1;1;1;1;Фармбиомед
Ирис;Открытый грунт;Паутинный клещ;1;1;1;1;Фармбиомед
Ирис;Открытый грунт;Трипсы;1;1;1;1;Фармбиомед
Ирис;Открытый грунт;Фузариоз / фузариозное увядание;0;0;0;0;
Вишня;Открытый грунт;Настоящая мучнистая роса;0;0;0;0;
Вишня;Открытый грунт;Корневая гниль / увядание;0;0;0;0;
Вишня;Открытый грунт;Тля;0;0;0;0;
Вишня;Открытый грунт;Паутинный клещ;0;0;0;0;
Вишня;Открытый грунт;Трипсы;0;0;0;0;
Вишня;Открытый грунт;Парша;0;0;0;0;
Вишня;Открытый грунт;Монилиоз (плодовая гниль);1;1;0;0;
Слива;Открытый грунт;Настоящая мучнистая роса;0;0;0;0;
Слива;Открытый грунт;Корневая гниль / увядание;0;0;0;0;
Слива;Открытый грунт;Тля;0;0;0;0;
Слива;Открытый грунт;Паутинный клещ;0;0;0;0;
Слива;Открытый грунт;Трипсы;0;0;0;0;
Слива;Открытый грунт;Парша;0;0;0;0;
Слива;Открытый грунт;Монилиоз (плодовая гниль);1;1;0;0;
